Accession_ID	Mg_blues (µg/g DW)	Latitude	Longitude	bio1	bio2	bio3	bio4	bio5	bio6	bio7	bio8	bio9	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19	awc	bulk_density	CaCO3	CEC	clay	CN	coarse_fragments	K	N	P	ph	sand	silt	srad_mean	ai	Mg(Soil) mg/kg
5353	4944.826713	54.5	-3	5.237500191	6.358333111	35.72097397	431.8465881	15.60000038	-2.200000048	17.80000114	1.116666675	6.800000191	10.88333321	0.433333337	2324	267	124	28.53967476	788	392	423	723	0.084702507	1.173658609	33.5749588	22.60381317	8.574110985	16.67633438	16.97264481	151.9971924	5.221364021	17.01065636	5.229228497	76.2233429	15.20254517	8753.833008	3.96239996	41
5486	4568.134381	54.6	-3.3	7.920833588	6.558333397	37.26325989	425.2617188	17.89999962	0.300000012	17.60000038	3.683333397	9.516666412	13.33333302	2.966666698	1400	156	80	25.39597702	458	244	277	423	0.110663138	1.068919063	37.98223877	10.83470535	19.37482834	10.72122097	18.68632698	179.652359	3.8731637	47.58574295	5.481610775	53.97257996	26.65258789	8871.916992	2.127000093	43
5577	5393.238746	54.7	-3.4	8.579166412	6.625	37.64204407	423.3709717	18.60000038	1	17.60000038	4.400000095	10.05000019	14	3.700000048	1148	129	63	26.25346375	378	194	230	350	0.096324593	1.039741993	0	16.87689209	20.25861168	10.88294697	21.76986313	233.977066	3.219240904	49.25008011	5.71532917	40.56369781	39.1776886	9053.416992	1.682999969	44
5644	5150.912977	54.4	-2.9	7.950000286	6.650000095	37.35955048	432.434967	18	0.200000003	17.79999924	5.683333397	9.483333588	13.45000076	2.916666746	1688	189	96	26.23675728	558	289	335	496	0.103684366	1.047110081	0	12.64304829	22.27962685	11.87505054	24.98801804	222.2190094	4.548619747	73.43497467	5.289566994	37.15213013	40.56824493	8970.75	2.62409997	37
5720	5434.787046	53.3	-1.6	7.829166412	6.691666603	35.97669983	447.0380249	18.5	-0.100000001	18.60000038	3.733333349	12.01666641	13.60000038	2.816666603	1161	127	74	18.80858803	367	234	247	338	0.083526216	1.1347965	0	19.31463623	9.117919922	22.57719803	18.3639164	156.0240326	2.843041658	18.64135742	4.728962421	79.0485611	11.83351898	9333.416992	1.616400003	49
5726	4953.305426	51.3	1.1	10.28333378	7.200000286	36.18090439	479.6747742	21.60000038	1.700000048	19.89999962	11.05000019	6.483333111	16.35000038	4.849999905	597	66	35	20.3238945	189	119	135	148	0.088796027	1.180930495	51.10625458	17.74884605	20.87992096	10.45697212	12.06621742	234.9220428	1.941356301	50.45359039	7.282405853	43.69742203	35.4226532	10072.08301	0.756299973	39
5741	5467.937712	56.6	-4.1	6.641666889	6.216666698	36.5686264	414.0093994	16.20000076	-0.800000012	17	2.716666698	8.083333015	11.9333334	2.016666651	1555	201	76	31.71343994	539	247	276	499	0.095263004	1.074335217	49.54417419	18.26365852	21.74430656	15.12775135	14.54389763	155.1622925	4.574044704	23.50403595	5.739560604	34.2982254	43.95746613	8425.916992	2.535300016	26
5748	5149.933513	56	-4.4	7.329166889	6.108333111	37.93996048	392.7783203	16.39999962	0.300000012	16.10000038	3.649999857	8.566666603	12.30000019	2.916666746	1669	205	83	31.98493004	571	258	292	526	0.08575207	1.159986377	0	17.21097183	17.04771423	15.53143406	13.93440151	149.1517944	4.005335331	18.37334442	4.837441444	54.34497833	28.60730743	8579.5	2.304500103	41
5757	3889.907806	54.6	-2.3	6.070833206	6.591666698	35.63063049	438.9784546	16.89999962	-1.600000024	18.5	1.966666698	7.5	11.76666641	1.133333325	1719	193	100	24.63622284	566	304	342	516	0.078369416	1.170099974	0	22.50311852	6.272722721	18.87295532	23.46931648	234.7928467	4.785502434	24.16426086	5.254739285	82.1975174	11.52976227	8948.833008	2.786099911	43
5768	4013.224293	54.1	-1.5	9.104166985	7.258333206	37.60794449	451.1876221	20.20000076	0.899999976	19.30000114	4.783333302	5.650000095	14.88333321	3.933333158	637	64	42	13.10901451	184	136	158	168	0.094551928	1.017758012	0	16.19437599	23.66488266	12.79278946	6.343597412	244.4828491	4.150183201	42.91013336	5.817857265	44.74505997	31.59005737	9316.166992	0.832499981	51
