Accession_ID	Name	Country	Latitude	Longitude	CS_number	material	material_Country	Li7	Na23	Mg25	P31	S34	K39	Ca43	Mn55	Fe57	Co59	Cu65	Zn66	As75	Se82	Rb85	Sr88	Mo98	Cd114
9852	Ini-0	Spain	40.46	-3.75	CS76945	leaf	Spain_leaf	14.71698542	256.4302091	3999.429566	15888.13779	8414.103814	74898.98544	40539.31426	235.985009	137.5082631	3.753921933	7.417265988	94.53122457	0.913231058	74.09528021	474.7964423	61.32606994	1.179539863	2.109449029
9853	Lac-0	Spain	43.33	-5.91	CS76996	leaf	Spain_leaf	15.05736449	1548.878673	4428.898718	17289.6307	12367.37635	76675.39582	41138.45836	220.2880875	141.2869902	1.593520376	9.070938828	91.07900321	1.045813253	72.31707157	496.136054	63.62185285	7.117968721	2.24551696
9854	Laf-1	Spain	43.36	-5.88	CS76997	leaf	Spain_leaf	14.07307364	1113.293255	4844.068756	19523.39047	13154.79816	88943.3499	36494.09073	211.2933228	133.6469819	1.739933702	7.712451777	85.97226943	0.966887804	79.43313073	531.30943	59.04570554	5.863199946	2.080692481
9855	Lam-0	Spain	40.57	-3.89	CS77008	leaf	Spain_leaf	14.50928614	631.275874	3700.342494	15048.52054	13165.61219	72830.84038	38775.92038	241.3876683	137.3919542	4.295743548	10.2154936	98.70526011	1.050461004	68.81207961	332.1517906	62.58868927	17.29856659	3.013332619
9856	Lch-0	Spain	40.51	-4.0	CS77010	leaf	Spain_leaf	13.77322656	1009.834146	4370.786485	15725.34611	12211.12583	72286.39709	40509.1613	258.7236386	141.1280062	3.622582204	8.113369083	93.17800856	0.984320572	67.15461534	397.7440582	66.8454093	3.428271544	2.678095407
9857	Leg-0	Spain	40.33	-3.8	CS77019	leaf	Spain_leaf	14.09351453	868.0241467	4624.456984	14709.65114	16075.63201	71848.34326	35600.63304	252.4046244	135.4735275	3.957442975	8.374035397	97.19665842	1.042601332	97.51860995	411.771055	56.0772451	2.113343325	2.660690627
9858	Loz-0	Spain	40.98	-3.8	CS77051	leaf	Spain_leaf	14.22439565	694.3933853	5165.747968	15405.47239	13922.2681	74060.33446	42311.97459	215.8932766	139.2411704	1.638167797	7.437056509	87.43162947	0.956961976	74.90930088	394.2309894	66.37926036	11.79042933	2.249173474
9859	Lro-0	Spain	40.5	-3.88	CS77054	leaf	Spain_leaf	15.00078526	702.2082082	4524.195338	18148.84299	13795.36688	73829.33472	41077.73062	231.749643	138.4137659	3.587763034	7.751052927	92.73807784	0.88840567	78.32921653	398.7287179	65.04752535	1.307821214	2.583717654
9860	Lum-0	Spain	42.24	-2.62	CS77059	leaf	Spain_leaf	14.9475979	1373.627382	4595.443602	15798.77818	13068.33282	74782.05742	38461.12391	235.091827	136.5283437	2.363156166	7.172118652	88.56785522	0.991355651	76.89443216	430.7467408	66.67279478	5.511935473	2.650647545
9861	Mac-0	Spain	40.72	-3.21	CS77061	leaf	Spain_leaf	15.1988313	686.8520905	4261.64098	15227.83773	14208.84068	71545.24602	43030.52681	221.8279346	143.4489245	4.196965762	7.168232943	97.01735435	1.080929586	84.19492757	409.4358683	72.34135689	5.105747953	2.287026026
9862	Mad-0	Spain	40.45	-3.67	CS77062	leaf	Spain_leaf	14.14809106	1334.62837	4132.651299	15326.13744	15939.16739	70752.14449	39137.94655	265.3622591	138.2652781	2.363209304	7.852541791	97.57945543	1.086487563	80.9906368	413.587019	64.40462029	4.972990628	2.780066431
9863	Man-0	Spain	43.33	-5.87		leaf	Spain_leaf	14.73077414	1426.590467	5001.670235	16952.8931	13367.24289	74835.16963	40716.45108	219.0422761	137.6907242	2.411780842	8.022582138	88.2566873	0.994546124	76.99248784	398.4857791	62.82614824	5.696501015	2.53652176
9864	Mat-0	Spain	41.76	2.69	CS77074	leaf	Spain_leaf	14.37750826	859.0950292	4567.682548	16386.69575	13279.0998	78428.5958	40403.40375	219.7318412	137.5215683	3.178013939	8.161857923	95.27835939	1.02779152	73.99772649	448.0172188	65.9305037	5.67244264	2.658189313
9865	Mdc-0	Spain	38.88	-3.53		leaf	Spain_leaf	14.70545421	1451.333907	4357.682412	16092.91549	13880.62935	81255.52935	38680.02038	213.2892155	137.8763801	1.679486322	7.075498342	87.65520525	0.994232148	80.45324701	430.201991	60.37827112	3.43345463	2.21721229
